※ 매년 말일자 통계 현황,,,,,,,
,,2011년,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4376040000,충청북도 괴산군 소수면,"1,938",956,          2.03,992,946,          1.05
4376041000,충청북도 괴산군 불정면,"3,002","1,444",          2.08,"1,542","1,460",          1.06
4377000000,충청북도 음성군 ,"91,644","38,518",          2.38,"48,030","43,614",          1.10
4377025000,충청북도 음성군 음성읍,"18,309","7,523",          2.43,"9,377","8,932",          1.05
4377025300,충청북도 음성군 금왕읍,"21,482","8,722",          2.46,"11,178","10,304",          1.08
4377031000,충청북도 음성군 소이면,"3,312","1,569",          2.11,"1,751","1,561",          1.12
4377032000,충청북도 음성군 원남면,"3,184","1,514",          2.10,"1,642","1,542",          1.06
4377033000,충청북도 음성군 맹동면,"5,252","1,625",          3.23,"3,029","2,223",          1.36
4377034000,충청북도 음성군 대소면,"16,297","6,791",          2.40,"8,590","7,707",          1.11
4377035000,충청북도 음성군 삼성면,"8,069","3,724",          2.17,"4,357","3,712",          1.17
4377036000,충청북도 음성군 생극면,"4,859","2,195",          2.21,"2,568","2,291",          1.12
4377037000,충청북도 음성군 감곡면,"10,880","4,855",          2.24,"5,538","5,342",          1.04
4380000000,충청북도 단양군 ,"31,595","14,080",          2.24,"15,987","15,608",          1.02
4380025000,충청북도 단양군 단양읍,"11,529","4,711",          2.45,"5,815","5,714",          1.02
4380025300,충청북도 단양군 매포읍,"6,659","2,818",          2.36,"3,449","3,210",          1.07
4380031000,충청북도 단양군 대강면,"2,507","1,296",          1.93,"1,257","1,250",          1.01
4380032000,충청북도 단양군 가곡면,"2,159","1,002",          2.15,"1,110","1,049",          1.06
4380033000,충청북도 단양군 영춘면,"3,531","1,650",          2.14,"1,705","1,826",          0.93
4380034000,충청북도 단양군 어상천면,"1,861",918,          2.03,954,907,          1.05
4380035000,충청북도 단양군 적성면,"1,552",778,          1.99,796,756,          1.05
4380036000,충청북도 단양군 단성면,"1,797",907,          1.98,901,896,          1.01
4400000000,충청남도  ,"2,101,284","868,768",          2.42,"1,063,012","1,038,272",          1.02
4413000000,충청남도 천안시 ,"571,377","227,976",          2.51,"289,642","281,735",          1.03
4413100000,충청남도 천안시 동남구 ,"252,942","102,285",          2.47,"127,940","125,002",          1.02
4413125000,충청남도 천안시 동남구 목천읍,"26,529","10,586",          2.51,"13,521","13,008",          1.04
4413131000,충청남도 천안시 동남구 풍세면,"4,812","2,076",          2.32,"2,545","2,267",          1.12
4413132000,충청남도 천안시 동남구 광덕면,"4,468","2,075",          2.15,"2,255","2,213",          1.02
