,행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
107,1126057500,서울특별시중랑구면목제3.8동,"24,759","12,668",1.95,"12,272","12,487",0.98
108,1126058000,서울특별시중랑구상봉제1동,"24,046","10,266",2.34,"11,714","12,332",0.95
109,1126059000,서울특별시중랑구상봉제2동,"20,341","12,269",1.66,"9,801","10,540",0.93
110,1126060000,서울특별시중랑구중화제1동,"19,611","9,085",2.16,"9,624","9,987",0.96
111,1126061000,서울특별시중랑구중화제2동,"24,875","13,631",1.82,"12,781","12,094",1.06
112,1126062000,서울특별시중랑구묵제1동,"34,443","14,854",2.32,"16,639","17,804",0.93
113,1126063000,서울특별시중랑구묵제2동,"18,718","9,259",2.02,"9,173","9,545",0.96
114,1126065500,서울특별시중랑구망우본동,"32,155","15,689",2.05,"16,110","16,045",1.0
115,1126066000,서울특별시중랑구망우제3동,"16,359","8,238",1.99,"8,204","8,155",1.01
116,1126068000,서울특별시중랑구신내1동,"38,512","14,704",2.62,"18,652","19,860",0.94
117,1126069000,서울특별시중랑구신내2동,"20,435","9,033",2.26,"9,735","10,700",0.91
118,1129000000,서울특별시성북구,"430,528","195,017",2.21,"207,578","222,950",0.93
119,1129052500,서울특별시성북구성북동,"16,522","8,225",2.01,"7,715","8,807",0.88
120,1129055500,서울특별시성북구삼선동,"22,871","11,531",1.98,"10,915","11,956",0.91
121,1129057500,서울특별시성북구동선동,"15,480","9,534",1.62,"6,509","8,971",0.73
122,1129058000,서울특별시성북구돈암제1동,"14,687","6,114",2.4,"6,869","7,818",0.88
123,1129059000,서울특별시성북구돈암제2동,"23,825","8,594",2.77,"11,285","12,540",0.9
124,1129060000,서울특별시성북구안암동,"14,936","9,385",1.59,"7,502","7,434",1.01
125,1129061000,서울특별시성북구보문동,"15,416","7,739",1.99,"7,449","7,967",0.93
126,1129062000,서울특별시성북구정릉제1동,"18,178","7,369",2.47,"8,729","9,449",0.92
127,1129063000,서울특별시성북구정릉제2동,"23,048","9,902",2.33,"11,130","11,918",0.93
128,1129064000,서울특별시성북구정릉제3동,"15,046","7,879",1.91,"7,491","7,555",0.99
129,1129065000,서울특별시성북구정릉제4동,"24,873","10,860",2.29,"11,992","12,881",0.93
130,1129066000,서울특별시성북구길음제1동,"35,462","12,519",2.83,"16,848","18,614",0.91
131,1129068500,서울특별시성북구길음제2동,"16,653","6,905",2.41,"7,977","8,676",0.92
132,1129070500,서울특별시성북구종암동,"38,809","17,149",2.26,"19,250","19,559",0.98
133,1129071500,서울특별시성북구월곡제1동,"26,335","10,854",2.43,"12,719","13,616",0.93
134,1129072500,서울특별시성북구월곡제2동,"19,442","9,617",2.02,"9,355","10,087",0.93
135,1129076000,서울특별시성북구장위제1동,"24,315","10,777",2.26,"11,911","12,404",0.96
136,1129077000,서울특별시성북구장위제2동,"13,740","6,716",2.05,"6,781","6,959",0.97
137,1129078000,서울특별시성북구장위제3동,"15,855","6,499",2.44,"7,809","8,046",0.97
138,1129081000,서울특별시성북구석관동,"35,035","16,849",2.08,"17,342","17,693",0.98
139,1130500000,서울특별시강북구,"299,182","144,536",2.07,"145,705","153,477",0.95
140,1130553400,서울특별시강북구삼양동,"23,629","11,126",2.12,"11,783","11,846",0.99
141,1130553500,서울특별시강북구미아동,"21,504","11,687",1.84,"10,342","11,162",0.93
142,1130554500,서울특별시강북구송중동,"29,478","13,975",2.11,"14,165","15,313",0.93
143,1130555500,서울특별시강북구송천동,"26,380","13,549",1.95,"13,093","13,287",0.99
144,1130557500,서울특별시강북구삼각산동,"31,361","11,577",2.71,"15,054","16,307",0.92
145,1130559500,서울특별시강북구번1동,"18,353","10,279",1.79,"9,271","9,082",1.02
146,1130560300,서울특별시강북구번2동,"15,847","7,597",2.09,"7,664","8,183",0.94
147,1130560800,서울특별시강북구번3동,"16,846","7,478",2.25,"7,893","8,953",0.88
148,1130561500,서울특별시강북구수유1동,"20,639","10,419",1.98,"10,195","10,444",0.98
149,1130562500,서울특별시강북구수유2동,"21,278","9,866",2.16,"10,174","11,104",0.92
150,1130563500,서울특별시강북구수유3동,"22,983","12,921",1.78,"11,464","11,519",1.0
151,1130564500,서울특별시강북구우이동,"20,542","9,613",2.14,"9,935","10,607",0.94
152,1130566000,서울특별시강북구인수동,"30,342","14,449",2.1,"14,672","15,670",0.94
153,1132000000,서울특별시도봉구,"317,366","138,656",2.29,"154,487","162,879",0.95
154,1132051100,서울특별시도봉구창제1동,"24,706","10,957",2.25,"11,732","12,974",0.9
155,1132051200,서울특별시도봉구창제2동,"29,099","12,613",2.31,"14,173","14,926",0.95
156,1132051300,서울특별시도봉구창제3동,"13,836","6,544",2.11,"6,920","6,916",1.0
157,1132051400,서울특별시도봉구창제4동,"26,496","10,699",2.48,"12,755","13,741",0.93
158,1132051500,서울특별시도봉구창제5동,"24,607","10,245",2.4,"11,750","12,857",0.91
159,1132052100,서울특별시도봉구도봉제1동,"21,072","10,385",2.03,"10,632","10,440",1.02
160,1132052200,서울특별시도봉구도봉제2동,"26,837","11,875",2.26,"13,106","13,731",0.95
161,1132066000,서울특별시도봉구쌍문제1동,"21,380","9,407",2.27,"10,313","11,067",0.93
162,1132067000,서울특별시도봉구쌍문제2동,"18,728","8,594",2.18,"8,952","9,776",0.92
163,1132068000,서울특별시도봉구쌍문제3동,"16,614","7,890",2.11,"8,058","8,556",0.94
164,1132068100,서울특별시도봉구쌍문제4동,"18,606","7,099",2.62,"8,797","9,809",0.9
165,1132069000,서울특별시도봉구방학제1동,"28,673","12,938",2.22,"14,234","14,439",0.99
166,1132070000,서울특별시도봉구방학제2동,"19,669","9,418",2.09,"9,926","9,743",1.02
167,1132071000,서울특별시도봉구방학제3동,"27,043","9,992",2.71,"13,139","13,904",0.94
168,1135000000,서울특별시노원구,"510,956","217,378",2.35,"246,053","264,903",0.93
169,1135056000,서울특별시노원구월계1동,"21,602","10,228",2.11,"11,149","10,453",1.07
170,1135057000,서울특별시노원구월계2동,"26,568","11,944",2.22,"12,794","13,774",0.93
171,1135058000,서울특별시노원구월계3동,"29,885","12,991",2.3,"14,266","15,619",0.91
172,1135059500,서울특별시노원구공릉1동,"36,610","18,190",2.01,"17,849","18,761",0.95
173,1135060000,서울특별시노원구공릉2동,"40,374","17,045",2.37,"19,690","20,684",0.95
174,1135061100,서울특별시노원구하계1동,"26,562","11,491",2.31,"12,728","13,834",0.92
175,1135061200,서울특별시노원구하계2동,"21,977","8,211",2.68,"10,476","11,501",0.91
176,1135061900,서울특별시노원구중계본동,"23,955","8,383",2.86,"11,659","12,296",0.95
177,1135062100,서울특별시노원구중계1동,"26,778","8,956",2.99,"13,002","13,776",0.94
178,1135062400,서울특별시노원구중계4동,"19,928","8,343",2.39,"9,584","10,344",0.93
179,1135062500,서울특별시노원구중계2.3동,"34,196","15,269",2.24,"15,690","18,506",0.85
180,1135063000,서울특별시노원구상계1동,"38,126","15,601",2.44,"18,451","19,675",0.94
181,1135064000,서울특별시노원구상계2동,"19,980","8,657",2.31,"9,889","10,091",0.98
182,1135066500,서울특별시노원구상계3.4동,"26,166","11,999",2.18,"13,003","13,163",0.99
183,1135067000,서울특별시노원구상계5동,"23,940","10,926",2.19,"11,607","12,333",0.94
