,,,,매출금액,매출금액,매출금액,매출금액,매출금액,매출금액
연도,,,,2017,2018,2019,2020,2021,2022
행정구역 구분 코드,행정구역 명,생활밀접업종 분류코드,생활밀접업종명,,,,,,
2,고양시,1,기타 식료품 소매업,16633517662.0,16829698843.0,11205743573.0,14188173172.0,15222079137.0,3940156800.0
2,고양시,1,기타 음ㆍ식료품 위주 종합 소매업,147594520897.0,144178607300.0,139967909779.0,133148314064.0,133143751165.0,30425237534.0
2,고양시,1,기타 의복 소매업,69976076793.0,70811225590.0,65496083271.0,56771670272.0,56774788698.0,13101445789.0
2,고양시,1,남자용 겉옷 소매업,20205168214.0,24205135000.0,23151511980.0,14185810286.0,14185724553.0,2730324907.0
2,고양시,1,문구용품 및 회화용품 소매업,26775536491.0,28446187305.0,32171467651.0,27335967411.0,27336788336.0,6561399185.0
2,고양시,1,"서적, 신문 및 잡지류 소매업",26046722482.0,25719348731.0,26038627182.0,22205199605.0,22206323495.0,5440476655.0
2,고양시,1,"섬유 원단, 실 및 기타 섬유제품 소매업",1245259938.0,1535396660.0,1101183016.0,1269079980.0,1295834421.0,215398388.0
2,고양시,1,셔츠 및 블라우스 소매업,259274191.0,58266929.0,11569815.0,26556260.0,4142872.0,
2,고양시,1,속옷 및 잠옷 소매업,14324713253.0,11921702728.0,11985060802.0,10777561664.0,10784883617.0,2172487170.0
2,고양시,1,슈퍼마켓,59659906015.0,66550996099.0,49382608898.0,50170511271.0,50171327302.0,12121732928.0
2,고양시,1,시계 및 귀금속 소매업,18019432714.0,19166386560.0,15291433006.0,11105318776.0,11102242049.0,2699035722.0
2,고양시,1,신발 소매업,19773724842.0,20087274156.0,16997249720.0,14387599343.0,14384195489.0,2508927260.0
2,고양시,1,안경 및 렌즈 소매업,37352106564.0,40458497828.0,41527771957.0,37155156976.0,37151784758.0,8474815997.0
2,고양시,1,애완용 동물 및 관련용품 소매업,31964653637.0,37030600142.0,33190709882.0,28503355117.0,28498243632.0,7831956859.0
2,고양시,1,운동 및 경기용품 소매업,39449049705.0,34276810571.0,33244307537.0,36746771790.0,36747749670.0,8360589077.0
2,고양시,1,육류 소매업,123600382344.0,116818325901.0,113417865020.0,131167051538.0,131152661351.0,36821070306.0
2,고양시,1,의약품 및 의료용품 소매업,262466608479.0,265605727074.0,262104517472.0,297336490121.0,297322980299.0,85059635767.0
2,고양시,1,자전거 및 기타 운송장비 소매업,1441783216.0,1438890100.0,2367789958.0,2410124277.0,2459069461.0,518261034.0
2,고양시,1,전기용품 및 조명장치 소매업,17037184009.0,15102621888.0,13399722711.0,17115199587.0,17126231580.0,3782881358.0
2,고양시,1,전자상거래 소매 중개업,,,167858011209.0,165460934277.0,165466521451.0,137951972507.0
2,고양시,1,전자상거래 소매업,32562224192.0,25723007752.0,22693429628.0,22838713285.0,11067506055.0,2936384793.0
2,고양시,1,"주방용품 및 가정용 유리, 요업제품 소매업",18855785494.0,21070169389.0,23235612425.0,19200655807.0,19203523249.0,4633438136.0
2,고양시,1,철물 및 난방용구 소매업,24909143099.0,29443284446.0,26695864140.0,29787162444.0,29776673600.0,8316423980.0
2,고양시,1,체인화 편의점,301390736168.0,322727402679.0,318027251391.0,314540232854.0,314552224808.0,80654687900.0
2,고양시,1,"컴퓨터 및 주변장치, 소프트웨어 소매업",12757141607.0,14036572019.0,13388764316.0,13972525740.0,13972679609.0,3635422636.0
2,고양시,1,통신기기 소매업,19313363755.0,23504044019.0,19558037810.0,12489283389.0,14269733079.0,2253017376.0
2,고양시,1,"페인트, 창호 및 기타 건설자재 소매업",23835956500.0,21764264304.0,17186316937.0,17116514051.0,17125839708.0,3014591244.0
2,고양시,1,"화장품, 비누 및 방향제 소매업",56660236657.0,51470750740.0,50928263030.0,38815258399.0,38809127476.0,6799544952.0
2,고양시,1,화초 및 식물 소매업,32829963936.0,32236848281.0,35352205042.0,32915441600.0,32917854298.0,8386651670.0
2,고양시,2,가전제품 수리업,13707527657.0,17982842570.0,20953055259.0,20317991129.0,20315043464.0,3924599906.0
2,고양시,2,가정용 세탁업,17771702269.0,18911508980.0,19950066622.0,17955861537.0,17953678421.0,4233907000.0
2,고양시,2,골프 연습장 운영업,19265240852.0,19593447432.0,21133684295.0,21143187775.0,21141173583.0,7729795544.0
2,고양시,2,기숙사 및 고시원 운영업,973519026.0,999903701.0,885589481.0,2013912343.0,2013948163.0,344886927.0
2,고양시,2,기타 교습학원,2240022945.0,2379749438.0,2704073685.0,2449096869.0,3267377694.0,832327797.0
2,고양시,2,기타 미용업,10087525295.0,10149467109.0,9946967462.0,10170708931.0,10172237232.0,2327948806.0
2,고양시,2,기타 예술학원,3603004572.0,4474039690.0,4981638725.0,3265997462.0,4552118184.0,1211352118.0
2,고양시,2,노래 연습장 운영업,54686729166.0,54621343215.0,53851245163.0,28475930167.0,28471527683.0,4179084622.0
2,고양시,2,당구장 운영업,11603809404.0,10585611462.0,10524552396.0,7984343894.0,7982341434.0,1790384176.0
